Time budget: 300s
Gradient accumulation steps: 8

step 00107 (27.2%) | loss: 4.957153 | lrm: 1.00 | dt: 851ms | tok/sec: 308,143 | mfu: 8.6% | epoch: 1 | remaining: 218s    
step 00108 (27.4%) | loss: 4.946159 | lrm: 1.00 | dt: 850ms | tok/sec: 308,433 | mfu: 8.6% | epoch: 1 | remaining: 217s    
step 00109 (27.7%) | loss: 4.926919 | lrm: 1.00 | dt: 850ms | tok/sec: 308,335 | mfu: 8.6% | epoch: 1 | remaining: 216s    
step 00110 (28.0%) | loss: 4.922864 | lrm: 1.00 | dt: 850ms | tok/sec: 308,305 | mfu: 8.6% | epoch: 1 | remaining: 215s    
step 00111 (28.3%) | loss: 4.915000 | lrm: 1.00 | dt: 850ms | tok/sec: 308,249 | mfu: 8.6% | epoch: 1 | remaining: 214s    
step 00112 (28.6%) | loss: 4.900141 | lrm: 1.00 | dt: 850ms | tok/sec: 308,284 | mfu: 8.6% | epoch: 1 | remaining: 213s    
step 00113 (28.9%) | loss: 4.891733 | lrm: 1.00 | dt: 851ms | tok/sec: 308,190 | mfu: 8.6% | epoch: 1 | remaining: 213s    
step 00114 (29.1%) | loss: 4.889734 | lrm: 1.00 | dt: 850ms | tok/sec: 308,322 | mfu: 8.6% | epoch: 1 | remaining: 212s    
step 00115 (29.4%) | loss: 4.897164 | lrm: 1.00 | dt: 979ms | tok/sec: 267,727 | mfu: 7.5% | epoch: 1 | remaining: 211s    
step 00116 (29.8%) | loss: 4.893506 | lrm: 1.00 | dt: 952ms | tok/sec: 275,318 | mfu: 7.7% | epoch: 1 | remaining: 210s    
step 00117 (30.1%) | loss: 4.905627 | lrm: 1.00 | dt: 850ms | tok/sec: 308,406 | mfu: 8.6% | epoch: 1 | remaining: 209s    
step 00118 (30.4%) | loss: 4.894488 | lrm: 0.99 | dt: 850ms | tok/sec: 308,252 | mfu: 8.6% | epoch: 1 | remaining: 208s    
step 00119 (30.6%) | loss: 4.884836 | lrm: 0.99 | dt: 850ms | tok/sec: 308,258 | mfu: 8.6% | epoch: 1 | remaining: 207s    
step 00120 (30.9%) | loss: 4.858414 | lrm: 0.99 | dt: 850ms | tok/sec: 308,236 | mfu: 8.6% | epoch: 1 | remaining: 206s    
step 00121 (31.2%) | loss: 4.846584 | lrm: 0.98 | dt: 850ms | tok/sec: 308,326 | mfu: 8.6% | epoch: 1 | remaining: 206s    
step 00122 (31.5%) | loss: 4.838221 | lrm: 0.98 | dt: 850ms | tok/sec: 308,335 | mfu: 8.6% | epoch: 1 | remaining: 205s    
step 00123 (31.8%) | loss: 4.824419 | lrm: 0.97 | dt: 850ms | tok/sec: 308,233 | mfu: 8.6% | epoch: 1 | remaining: 204s    
step 00124 (32.1%) | loss: 4.820602 | lrm: 0.97 | dt: 850ms | tok/sec: 308,238 | mfu: 8.6% | epoch: 1 | remaining: 203s    
step 00125 (32.3%) | loss: 4.811546 | lrm: 0.97 | dt: 851ms | tok/sec: 308,008 | mfu: 8.6% | epoch: 1 | remaining: 202s    
step 00126 (32.6%) | loss: 4.801629 | lrm: 0.96 | dt: 851ms | tok/sec: 308,141 | mfu: 8.6% | epoch: 1 | remaining: 201s    
step 00127 (32.9%) | loss: 4.787757 | lrm: 0.96 | dt: 851ms | tok/sec: 308,157 | mfu: 8.6% | epoch: 1 | remaining: 200s    
step 00128 (33.2%) | loss: 4.770808 | lrm: 0.95 | dt: 850ms | tok/sec: 308,351 | mfu: 8.6% | epoch: 1 | remaining: 200s    
step 00129 (33.5%) | loss: 4.770223 | lrm: 0.95 | dt: 851ms | tok/sec: 308,128 | mfu: 8.6% | epoch: 1 | remaining: 199s    
step 00130 (33.8%) | loss: 4.765221 | lrm: 0.95 | dt: 851ms | tok/sec: 308,072 | mfu: 8.6% | epoch: 1 | remaining: 198s    
step 00131 (34.0%) | loss: 4.751583 | lrm: 0.94 | dt: 850ms | tok/sec: 308,232 | mfu: 8.6% | epoch: 1 | remaining: 197s    
step 00132 (34.3%) | loss: 4.738645 | lrm: 0.94 | dt: 851ms | tok/sec: 307,985 | mfu: 8.6% | epoch: 1 | remaining: 196s    
step 00133 (34.6%) | loss: 4.722319 | lrm: 0.93 | dt: 851ms | tok/sec: 308,177 | mfu: 8.6% | epoch: 1 | remaining: 195s    
